Poster URL,Title,Genres,Country,Director,Duration,Year,Actors,Description
https://cdn.upmovies.net/MV5BYmQ0NTY4NDUtMjExMy00OWI3LThiMDYtYWVmODYyOTEyMWQyXkEyXkFqcGdeQXVyMTI1NTE2NjA@._V1_SX300.jpg,Alien Avengers 2,"Comedy, Sci-Fi",United States,Dave Payne,89 min,1997,"George Wendt, Julie Brown, Anastasia Sakelaris",A vigilante alien works with his family to rid Earth of criminals.
https://cdn.upmovies.net/MV5BMjA1OTYyMTgzOV5BMl5BanBnXkFtZTcwMTgxNTEzMQ@@._V1_SX300.jpg,Alien Avengers,"Comedy, Sci-Fi",United States,Lev L. Spiro,81 min,1996,"George Wendt, Shanna Reed, Christopher M. Brown, Anastasia Sakelaris","Charlie and Rhonda are a sweet and comfortable married couple on vacation with their lovely daughter Daphne. They find a rundown boarding house and its haggard owner, Joseph, an ex-con ..."
https://cdn.upmovies.net/MV5BYTBkYmUzM2ItMzhhNi00MTMyLTg2MTktM2UyNGY4MWQ0YmJkXkEyXkFqcGdeQXVyMTc3MjY3NTY@._V1_SX300.jpg,Three Avengers,"Action, Drama",Hong Kong,Wah-Kei Wong,86 min,1979,"Bruce Li, Yuet-Sang Chin, Hoi-Sang Lee, Chi-Ping Chang","When two acrobats are fired for fighting with punks in the audience, they go to live with an aunt who's being pressured to sell her house for a real estate development. The developer's ..."
https://cdn.upmovies.net/MV5BMTUyNDI1MDc4OV5BMl5BanBnXkFtZTcwNzM4NzcxMQ@@._V1_SX300.jpg,Ninja Avengers,Action,Hong Kong,"Joseph Lai, Godfrey Ho",N/A,1987,"Richard Harrison, Stuart Smith, Stefan Bernhardt","Antonio, a traveling missionary Priest, seems innocent - until he wields his cross as a weapon during a train robbery. Ringo, a ninja rotten to the core, is released from prison. Antonio is the one who put him in jail"
https://cdn.upmovies.net/MV5BOTgzMjMxOTYtYzQzZi00NWM1LTljZDMtN2UwZWE3MjlhZDdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Crippled Avengers,"Action, Drama",Hong Kong,Cheh Chang,104 min,1978,"Kuan Tai Chen, Feng Lu, Phillip Chung-Fung Kwok, Meng Lo","Three men, crippled by an evil warlord, become friends and learn kung fu with the help of an old teacher and his idiot pupil."
https://cdn.upmovies.net/Ofyvg1u.jpg,The Avengers: Season 3,"Action, Comedy, Crime, Mystery, Sci-Fi, Thriller",United Kingdom,,60 min,1961–1969,"Patrick Macnee, Diana Rigg, Honor Blackman",A quirky spy show of the adventures of an eccentricly suave British agent and his predominately female partners.
https://cdn.upmovies.net/Ofyvg1u.jpg,The Avengers: Season 6,"Action, Comedy, Crime, Mystery, Sci-Fi, Thriller",United Kingdom,,60 min,1961–1969,"Patrick Macnee, Diana Rigg, Honor Blackman",A quirky spy show of the adventures of an eccentricly suave British agent and his predominately female partners.
https://cdn.upmovies.net/Ofyvg1u.jpg,The Avengers: Season 4,"Action, Comedy, Crime, Mystery, Sci-Fi, Thriller",United Kingdom,,60 min,1961–1969,"Patrick Macnee, Diana Rigg, Honor Blackman",A quirky spy show of the adventures of an eccentricly suave British agent and his predominately female partners.
https://cdn.upmovies.net/Ofyvg1u.jpg,The Avengers: Season 2,"Action, Comedy, Crime, Mystery, Sci-Fi, Thriller",United Kingdom,,60 min,1961–1969,"Patrick Macnee, Diana Rigg, Honor Blackman",A quirky spy show of the adventures of an eccentricly suave British agent and his predominately female partners.
https://cdn.upmovies.net/Ofyvg1u.jpg,The Avengers: Season 5,"Action, Comedy, Crime, Mystery, Sci-Fi, Thriller",United Kingdom,,60 min,1961–1969,"Patrick Macnee, Diana Rigg, Honor Blackman",A quirky spy show of the adventures of an eccentricly suave British agent and his predominately female partners.
https://cdn.upmovies.net/Ofyvg1u.jpg,The Avengers: Season 1,"Action, Comedy, Crime, Mystery, Sci-Fi, Thriller",United Kingdom,,60 min,1961–1969,"Patrick Macnee, Diana Rigg, Honor Blackman",A quirky spy show of the adventures of an eccentricly suave British agent and his predominately female partners.
https://cdn.upmovies.net/MV5BMTY0NTUyMDQwOV5BMl5BanBnXkFtZTgwNjAwMTA0MDE@._V1_SX300.jpg,Marvel's Avengers Assemble: Season 3,"Animation, Action, Adventure",United States,N/A,23 min,2016,"Fred Tatasciore, Roger Craig Smith, Troy Baker, Bumper Robinson",The further adventures of the Marvel Universe's mightiest general membership superhero team.
https://cdn.upmovies.net/MV5BMTY0NTUyMDQwOV5BMl5BanBnXkFtZTgwNjAwMTA0MDE@._V1_SX300.jpg,Marvel's Avengers Assemble: Season 5,"Animation, Action, Adventure",United States,N/A,23 min,2018,"Roger Craig Smith, Fred Tatasciore, Troy Baker, Travis Willingham",The further adventures of the Marvel Universe's mightiest general membership superhero team.
https://cdn.upmovies.net/MV5BZTgxN2FlZjYtNGM2Mi00MThiLWFlM2QtYjIyYTY4MmFhNGQ3XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_SX300.jpg,Avengers Social Club: Season 1,Drama,South Korea,N/A,N/A,2017–,Seok-yong Jeong,N/A
https://cdn.upmovies.net/MV5BNDZmYjNmYTktNDVjMi00N2I0LWI0MjEtNzEyYzYzZjU5MGEwXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,Disk Wars Avengers,"Animation, Action, Adventure",Japan,,,2014,"Ben Diskin, Danielle Judovits, Matthew Mercer, Colleen O'Shaughnessey",The fantastic adventures of David and his wife Lisa traveling around the world to save the animals and defeating the trolls.
https://cdn.upmovies.net/MV5BMTY0NTUyMDQwOV5BMl5BanBnXkFtZTgwNjAwMTA0MDE@._V1_SX300.jpg,Marvel's Avengers Assemble: Season 4,"Animation, Action, Adventure",United States,N/A,23 min,2017,"Adrian Pasdar, Roger Craig Smith, Fred Tatasciore, Travis Willingham",The further adventures of the Marvel Universe's mightiest general membership superhero team.
https://cdn.upmovies.net/jlRKiYk.jpg,Disk Wars: Avengers,"Action, Kids, Super Power",Japan,,,2014,,"The story will revolve around how the Avengers—Iron Man, Captain America, Thor, and the Hulk together with the help of Spider-Man and a group of teens—will harness their respective fighting skills and superhuman powers to foil Loki's scheme to take over the world. Marvel Disk Wars: The Avengers will target boys in the 6-12 age group."
https://cdn.upmovies.net/mlbAKUC.jpg,Marvel's Avengers Assemble: Season 1,"Animation, Action, Adventure, Sci-Fi",United States,,23 min,2013,"Adrian Pasdar, Fred Tatasciore, Travis Willingham",The further adventures of the Marvel Universe's mightiest general membership superhero team.
https://cdn.upmovies.net/mlbAKUC.jpg,Marvel's Avengers Assemble: Season 2,"Animation, Action, Adventure, Sci-Fi",United States,,23 min,2013,"Adrian Pasdar, Fred Tatasciore, Travis Willingham",The further adventures of the Marvel Universe's mightiest general membership superhero team.


